Turn 9: first=40.20687498268671 ms; landing=329.20304164872505 ms; target=120 Hz; OS presentation gaps=[0.01667337500839494, 0.01667337500839494, 0.01667345833266154, 0.01667337497929111, 0.016673541686031967, 0.01667337497929111, 0.01667337500839494, 0.01667345833266154, 0.016673333331709728, 0.012504874990554526, 0.008336750004673377, 0.008336666680406779, 0.008337000006577, 0.008336291648447514, 0.008336750004673377, 0.008336750004673377, 0.008336666651302949, 0.008336666680406779, 0.00833679165225476, 0.008336541679454967, 0.008336750004673377, 0.008336666651302949, 0.008336750004673377, 0.008336625003721565, 0.00833679168135859]; callback delays=[0.00046812501386739314, 0.000620041653746739, 0.0006092916592024267, 0.0005249583336990327, 0.0005868333391845226, 0.0005276666488498449, 0.0005645416676998138, 0.0005198333237785846, 0.0006348750030156225, 0.0006171250133775175, 0.004860000015469268, 0.0051535833335947245, 0.00434645832865499, 0.005229333328315988, 0.004349124996224418, 0.005207541660638526, 0.004014749982161447, 0.003718375024618581, 0.0038659999845549464, 0.0051267916860524565, 0.0036610416718758643, 0.00381970833404921, 0.0036158750008326024, 0.003650958329671994, 0.0005055416550021619, 0.0004504583193920553] s; unpresented progress=[0.9649042530451821]

Command execution=19.08662499045022 ms
start=21.092499984661117ms; CPU=1.9861666660290211ms; GPU queue=0.5074583168607205ms; GPU=1.2539166491478682ms; target=36.038458318216726ms
start=29.86083331052214ms; CPU=0.9430833451915532ms; GPU queue=0.7860833138693124ms; GPU=1.8854999798350036ms; target=44.375124998623505ms
start=37.754583318019286ms; CPU=1.0762083402369171ms; GPU queue=0.5532082868739963ms; GPU=1.3633750204462558ms; target=52.711791649926454ms
start=45.89787498116493ms; CPU=1.2876666733063757ms; GPU queue=0.4207082965876907ms; GPU=1.4144166780170053ms; target=61.04845833033323ms
start=61.135666648624465ms; CPU=1.5252916782628745ms; GPU queue=0.43883328908123076ms; GPU=1.6198749945033342ms; target=77.72179166204296ms
start=77.81408331356943ms; CPU=2.016125014051795ms; GPU queue=0.7206666341517121ms; GPU=2.07012498867698ms; target=94.39512499375269ms
start=94.5054583135061ms; CPU=2.5447499938309193ms; GPU queue=0.2250416437163949ms; GPU=2.4927500053308904ms; target=111.06845832546242ms
start=111.20333333383314ms; CPU=2.8461249894462526ms; GPU queue=0.2255416475236416ms; GPU=2.5627916620578617ms; target=127.74179165717214ms
start=127.8737916436512ms; CPU=3.6336666671559215ms; GPU queue=0.23791665444150567ms; GPU=3.530499991029501ms; target=144.41512498888187ms
start=144.55220830859616ms; CPU=3.9731666911393404ms; GPU queue=0.24974995176307857ms; GPU=3.8121666584629565ms; target=161.0884583205916ms
start=161.22112498851493ms; CPU=4.060708335600793ms; GPU queue=0.2592916425783187ms; GPU=3.80437498097308ms; target=177.76179165230133ms
