0: [0, 0, 255, 255], selected=1
1: [0, 0, 255, 255], selected=1
2: [0, 0, 255, 255], selected=1
3: [0, 0, 255, 255], selected=1
4: [0, 0, 255, 255], selected=1
5: [0, 0, 255, 255], selected=1
6: [0, 0, 255, 255], selected=1
7: [0, 0, 255, 255], selected=1
8: [0, 0, 255, 255], selected=1
9: [0, 0, 255, 255], selected=1
10: [249, 248, 240, 255], selected=1
11: [249, 248, 240, 255], selected=1
12: [249, 248, 240, 255], selected=1
13: [249, 248, 240, 255], selected=1
14: [255, 0, 0, 255], selected=1
15: [255, 0, 0, 255], selected=1
16: [255, 0, 0, 255], selected=1
17: [255, 0, 0, 255], selected=1
18: [255, 0, 0, 255], selected=1
19: [255, 0, 0, 255], selected=1
20: [255, 0, 0, 255], selected=1
21: [255, 0, 0, 255], selected=1
22: [255, 0, 0, 255], selected=1
23: [255, 0, 0, 255], selected=1
24: [255, 0, 0, 255], selected=0
25: [255, 0, 0, 255], selected=0
26: [255, 0, 0, 255], selected=0
27: [255, 0, 0, 255], selected=0
28: [255, 0, 0, 255], selected=0
29: [249, 248, 240, 255], selected=0
30: [249, 248, 240, 255], selected=0
31: [0, 0, 255, 255], selected=0
32: [0, 0, 255, 255], selected=0
33: [0, 0, 255, 255], selected=0
34: [0, 0, 255, 255], selected=0
35: [0, 0, 255, 255], selected=0
36: [0, 0, 255, 255], selected=0
37: [0, 0, 255, 255], selected=1
38: [0, 0, 255, 255], selected=1
39: [0, 0, 255, 255], selected=1
40: [0, 0, 255, 255], selected=1
41: [0, 0, 255, 255], selected=1
42: [0, 0, 255, 255], selected=1
43: [0, 0, 255, 255], selected=1
44: [0, 0, 255, 255], selected=1
45: [0, 0, 255, 255], selected=1
46: [0, 0, 255, 255], selected=1
47: [0, 0, 255, 255], selected=1
48: [0, 0, 255, 255], selected=1
49: [0, 0, 255, 255], selected=1
50: [0, 0, 255, 255], selected=1
51: [0, 0, 255, 255], selected=1
52: [0, 0, 255, 255], selected=1
53: [0, 0, 255, 255], selected=1
54: [0, 0, 255, 255], selected=1
