0: [0, 0, 255, 255], selected=1
1: [0, 0, 255, 255], selected=1
2: [0, 0, 255, 255], selected=1
3: [0, 0, 255, 255], selected=1
4: [0, 0, 255, 255], selected=1
5: [0, 0, 255, 255], selected=1
6: [0, 0, 255, 255], selected=1
7: [0, 0, 255, 255], selected=1
8: [0, 0, 255, 255], selected=1
9: [0, 0, 255, 255], selected=1
10: [0, 0, 255, 255], selected=1
11: [249, 248, 240, 255], selected=1
12: [249, 248, 240, 255], selected=1
13: [249, 248, 240, 255], selected=1
14: [249, 248, 240, 255], selected=1
15: [255, 0, 0, 255], selected=1
16: [255, 0, 0, 255], selected=1
17: [255, 0, 0, 255], selected=1
18: [255, 0, 0, 255], selected=1
19: [255, 0, 0, 255], selected=1
20: [255, 0, 0, 255], selected=1
21: [255, 0, 0, 255], selected=1
22: [255, 0, 0, 255], selected=1
23: [255, 0, 0, 255], selected=1
24: [255, 0, 0, 255], selected=1
25: [255, 0, 0, 255], selected=1
26: [255, 0, 0, 255], selected=1
27: [255, 0, 0, 255], selected=1
28: [255, 0, 0, 255], selected=1
29: [255, 0, 0, 255], selected=1
30: [255, 0, 0, 255], selected=1
31: [255, 0, 0, 255], selected=1
32: [255, 0, 0, 255], selected=1
33: [255, 0, 0, 255], selected=1
34: [255, 0, 0, 255], selected=1
35: [255, 0, 0, 255], selected=1
36: [255, 0, 0, 255], selected=1
37: [255, 0, 0, 255], selected=1
38: [255, 0, 0, 255], selected=1
39: [255, 0, 0, 255], selected=1
40: [255, 0, 0, 255], selected=1
41: [255, 0, 0, 255], selected=1
42: [255, 0, 0, 255], selected=1
43: [255, 0, 0, 255], selected=1
44: [255, 0, 0, 255], selected=1
45: [255, 0, 0, 255], selected=1
46: [255, 0, 0, 255], selected=1
47: [255, 0, 0, 255], selected=1
48: [255, 0, 0, 255], selected=1
49: [255, 0, 0, 255], selected=1
50: [255, 0, 0, 255], selected=1
51: [255, 0, 0, 255], selected=1
52: [255, 0, 0, 255], selected=1
53: [255, 0, 0, 255], selected=1
54: [255, 0, 0, 255], selected=1
