0: [0, 0, 255, 255], selected=1
1: [0, 0, 255, 255], selected=1
2: [0, 0, 255, 255], selected=1
3: [0, 0, 255, 255], selected=1
4: [0, 0, 255, 255], selected=1
5: [0, 0, 255, 255], selected=1
6: [0, 0, 255, 255], selected=1
7: [0, 0, 255, 255], selected=1
8: [0, 0, 255, 255], selected=1
9: [0, 0, 255, 255], selected=1
10: [249, 248, 240, 255], selected=1
11: [249, 248, 240, 255], selected=1
12: [249, 248, 240, 255], selected=1
13: [249, 248, 240, 255], selected=1
14: [255, 0, 0, 255], selected=1
15: [255, 0, 0, 255], selected=1
16: [255, 0, 0, 255], selected=1
17: [255, 0, 0, 255], selected=1
18: [255, 0, 0, 255], selected=1
19: [255, 0, 0, 255], selected=1
20: [255, 0, 0, 255], selected=1
21: [255, 0, 0, 255], selected=1
22: [255, 0, 0, 255], selected=1
23: [255, 0, 0, 255], selected=1
24: [255, 0, 0, 255], selected=0
25: [255, 0, 0, 255], selected=0
26: [255, 0, 0, 255], selected=0
27: [255, 0, 0, 255], selected=0
28: [255, 0, 0, 255], selected=0
29: [255, 0, 0, 255], selected=0
30: [255, 0, 0, 255], selected=0
31: [255, 0, 0, 255], selected=0
32: [255, 0, 0, 255], selected=0
33: [255, 0, 0, 255], selected=0
34: [255, 0, 0, 255], selected=0
35: [255, 0, 0, 255], selected=0
36: [255, 0, 0, 255], selected=0
37: [255, 0, 0, 255], selected=0
38: [255, 0, 0, 255], selected=0
39: [255, 0, 0, 255], selected=0
40: [255, 0, 0, 255], selected=0
41: [255, 0, 0, 255], selected=0
42: [255, 0, 0, 255], selected=0
43: [255, 0, 0, 255], selected=0
44: [255, 0, 0, 255], selected=0
45: [255, 0, 0, 255], selected=0
46: [255, 0, 0, 255], selected=0
47: [255, 0, 0, 255], selected=0
48: [255, 0, 0, 255], selected=0
49: [255, 0, 0, 255], selected=0
50: [255, 0, 0, 255], selected=0
51: [255, 0, 0, 255], selected=0
52: [255, 0, 0, 255], selected=0
53: [255, 0, 0, 255], selected=0
54: [255, 0, 0, 255], selected=0
